date,pun_Price,brent_Price,coal_Price,crude_oil_Price,gasoline_Price,ttf_gas_Price,Centre-North_Load,Centre-South_Load,Italy_Load,North_Load,Sardinia_Load,Sicily_Load,South_Load,bari_tavg,bologna_tavg,cagliari_tavg,milano_tavg,napoli_tavg,palermo_tavg,roma_tavg,torino_tavg,venezia_tavg,bari_tmin,bologna_tmin,cagliari_tmin,milano_tmin,napoli_tmin,palermo_tmin,roma_tmin,torino_tmin,venezia_tmin,bari_tmax,bologna_tmax,cagliari_tmax,milano_tmax,napoli_tmax,palermo_tmax,roma_tmax,torino_tmax,venezia_tmax,bari_wspd,bologna_wspd,cagliari_wspd,milano_wspd,napoli_wspd,palermo_wspd,roma_wspd,torino_wspd,venezia_wspd,bari_pres,bologna_pres,cagliari_pres,milano_pres,napoli_pres,palermo_pres,roma_pres,torino_pres,venezia_pres,target_pun,day_of_week,month,is_sunday_or_holiday,pun_Price_lag1,pun_Price_rolling7_mean,pun_Price_rolling7_std
2020-01-07,52.590938,68.27,67.5,62.51,1.7858,11.929,87563.0,136874.0,845779.0,471257.0,27894.0,49726.0,72465.0,9.2,0.2,8.8,0.2,6.8,11.5,4.3,-1.8,1.0,6.1,-3.0,1.0,-1.0,1.1,8.4,-0.1,-5.6,-2.0,11.7,4.0,16.4,2.0,12.0,14.0,9.3,5.8,4.3,19.8,6.9,11.2,5.8,7.0,9.8,6.1,3.3,5.7,1025.3,1027.9,1027.1,1027.9,1025.0,1025.4,1025.0,1026.4,1027.7,47.919989,1,1,0,39.923403,42.894166142857145,5.591727713001724
2020-01-08,47.919989,64.79,67.5,59.46,1.6676,11.964,91985.0,142641.0,900505.0,511953.0,27686.0,50277.0,75963.0,9.7,0.5,11.5,0.6,9.4,11.5,6.4,-1.1,2.1,4.0,-2.0,9.0,-0.1,6.0,9.0,3.0,-6.9,-3.0,13.0,6.4,15.4,2.0,14.0,14.0,13.0,8.3,8.0,14.0,7.6,9.7,5.9,11.7,7.8,7.4,2.7,7.7,1028.4,1031.2,1025.6,1031.6,1027.0,1025.3,1027.2,1030.2,1030.6,55.440532,2,1,0,52.590938,44.62671914285714,4.854759540584291
2020-01-09,55.440532,65.3377,68.95,59.55,1.6658,12.179,94804.0,139809.0,901355.0,509799.0,26404.0,53960.0,76579.0,9.9,1.4,10.2,0.8,7.3,10.1,5.8,-0.5,3.8,6.8,-3.7,5.4,-1.4,2.0,7.0,0.7,-6.0,1.4,12.9,9.0,13.2,6.0,14.0,14.0,12.2,9.2,8.0,12.4,4.6,7.5,4.0,5.6,6.6,5.6,3.2,6.4,1028.6,1027.5,1028.0,1027.6,1028.3,1028.2,1028.3,1026.3,1027.0,52.978107,3,1,0,47.919989,46.01173585714286,6.372745486025224
2020-01-10,52.978107,65.021,70.9,59.0841,1.6687,11.94,93598.0,136292.0,902371.0,522777.0,26084.0,52233.0,71387.0,8.5,3.2,10.7,4.5,7.1,10.3,7.0,1.4,1.7,1.6,-2.5,6.7,1.0,1.0,6.0,1.0,-4.6,-3.0,12.0,8.0,16.1,8.0,14.0,14.0,14.0,9.5,7.0,9.5,4.4,7.4,3.9,4.7,10.6,6.7,3.4,4.9,1026.0,1024.9,1024.8,1024.7,1025.6,1025.3,1025.4,1023.6,1025.0,45.419283,4,1,0,55.440532,47.303157000000006,6.785125104692304
2020-01-11,45.419283,65.021,70.9,59.0841,1.6687,11.94,72734.0,125432.0,753652.0,412647.0,25104.0,49922.0,67813.0,9.4,5.7,9.6,3.0,7.7,11.2,6.5,4.8,4.9,4.2,1.1,5.0,-2.0,2.0,8.0,2.8,0.0,-1.0,14.0,10.0,16.0,11.0,15.0,14.0,12.0,11.0,14.0,14.0,6.2,8.5,3.6,6.0,8.9,7.3,4.5,7.8,1024.5,1028.2,1025.1,1028.5,1024.3,1023.3,1024.5,1028.0,1028.0,45.060714,5,1,0,52.978107,47.47609671428571,6.708098677122625
2020-01-12,45.060714,64.84,70.9,58.8386,1.6687,11.94,62025.0,109658.0,655671.0,348214.0,26786.0,47177.0,61811.0,10.4,3.8,10.1,2.6,10.0,10.7,6.7,-0.5,4.6,6.7,0.0,6.0,-2.0,5.8,7.1,2.0,-6.1,1.0,13.0,9.1,16.4,9.0,15.0,14.0,13.0,8.0,9.0,15.4,5.7,7.7,2.7,10.7,8.9,8.4,3.8,7.9,1026.0,1028.6,1025.2,1028.6,1024.9,1023.6,1025.2,1027.7,1028.6,54.283781,6,1,1,45.419283,48.476138,5.479813697949726
2020-01-13,54.283781,64.2342,70.9,58.2467,1.6696,12.054,91773.0,134682.0,890010.0,513241.0,24434.0,52848.0,73032.0,8.4,1.3,9.2,1.1,8.7,10.9,6.3,-1.6,3.2,6.0,-3.0,3.4,-3.0,3.5,8.0,1.0,-1.8,-0.6,11.3,7.0,15.0,7.0,15.0,14.2,13.0,7.0,8.0,8.5,6.3,7.1,2.7,6.1,8.1,6.1,3.5,6.4,1026.0,1026.6,1025.6,1026.3,1025.1,1024.0,1025.2,1025.3,1026.4,56.214004,0,1,0,45.060714,50.52762057142858,4.306768414068775
2020-01-14,56.214004,64.4199,70.8,58.2282,1.6686,11.303,93145.0,137480.0,923008.0,540357.0,25926.0,52705.0,73395.0,10.5,2.3,8.2,3.2,8.2,10.7,7.6,-1.3,2.0,4.0,-3.1,2.8,0.2,1.0,7.0,3.6,-5.7,-1.5,12.0,7.0,15.2,6.0,14.0,14.1,13.9,7.0,6.0,6.9,4.0,8.3,4.0,3.8,9.2,6.0,3.6,3.9,1027.0,1026.3,1026.7,1026.1,1026.1,1025.8,1026.0,1025.0,1026.4,54.866988,1,1,0,54.283781,51.04520142857143,4.786995806600122
2020-01-15,54.866988,64.0,70.5,57.84,1.6611,11.179,92642.0,139413.0,930483.0,546782.0,26258.0,51456.0,73932.0,7.2,5.4,7.6,5.2,8.5,10.5,6.3,-0.9,2.7,2.9,3.6,2.0,4.0,4.0,7.0,0.9,-6.0,0.0,13.0,8.0,15.3,6.2,15.0,14.2,13.3,7.6,6.0,8.8,3.5,7.6,3.8,5.8,6.7,5.7,3.2,4.9,1028.5,1028.9,1028.5,1028.8,1028.5,1027.8,1028.5,1027.8,1029.0,50.281465,2,1,0,56.214004,52.03762985714286,4.751081871311701
2020-01-16,50.281465,64.62,70.45,58.52,1.6737,11.117,86902.0,140027.0,927254.0,542768.0,35408.0,51155.0,70994.0,8.6,5.3,8.4,5.1,7.8,11.0,6.3,-0.7,3.7,4.0,2.9,2.8,1.1,2.0,7.0,0.5,-6.1,-1.0,14.0,9.0,14.0,9.0,15.0,14.2,12.1,8.0,9.0,13.7,5.3,7.1,4.0,6.4,11.9,6.9,3.2,6.6,1027.9,1030.6,1030.1,1030.6,1028.4,1028.6,1028.9,1029.7,1030.4,51.889451,3,1,0,54.866988,51.30062028571428,4.530245834764391
