iter	RMSE
0	134.3031242
1	128.388915
2	122.714561
3	117.5111384
4	112.5799606
5	107.7976999
6	103.2144073
7	98.82012442
8	94.79551603
9	91.08861829
10	87.59892657
11	84.15375263
12	80.72490214
13	77.55527987
14	74.55751358
15	71.84479594
16	69.15616148
17	66.7178197
18	64.24825377
19	62.00186841
20	59.99606737
21	57.85871362
22	55.78141855
23	53.95911806
24	52.00386602
25	50.27633325
26	48.74482463
27	47.084449
28	45.6557157
29	44.25301972
30	42.8764373
31	41.58946976
32	40.43082804
33	39.29387538
34	38.22079756
35	37.23714781
36	36.31747378
37	35.41275313
38	34.58392708
39	33.76373104
40	32.99883919
41	32.28784933
42	31.60668776
43	30.93450061
44	30.32922611
45	29.7922213
46	29.29443623
47	28.79962168
48	28.31159702
49	27.84184131
50	27.38099455
51	26.9286021
52	26.56990994
53	26.21836207
54	25.79049171
55	25.4717231
56	25.16865531
57	24.77629009
58	24.50411568
59	24.16958189
60	23.81882699
61	23.56272336
62	23.25623054
63	23.05719017
64	22.85080598
65	22.65229715
66	22.3843899
67	22.20152204
68	22.00422091
69	21.80575906
70	21.5836348
71	21.3270595
72	21.17831389
73	21.05050417
74	20.871653
75	20.65732239
76	20.50778767
77	20.36144475
78	20.23941827
79	20.14146377
80	19.94879062
81	19.8125426
82	19.66466951
83	19.54867129
84	19.37789037
85	19.2922619
86	19.2035897
87	19.08990939
88	18.9309519
89	18.85315235
90	18.72009022
91	18.64572374
92	18.5262135
93	18.42818405
94	18.28998101
95	18.20070109
96	18.12065841
97	18.03160914
98	17.95732429
99	17.855901
100	17.79620039
101	17.67621848
102	17.58065486
103	17.50320478
104	17.43472506
105	17.32349462
106	17.23949367
107	17.18822756
108	17.08952142
109	17.01586292
110	16.95509221
111	16.85409936
112	16.76547829
113	16.7022979
114	16.59542472
115	16.56217277
116	16.50686992
117	16.44262685
118	16.36606942
119	16.31093585
120	16.24088255
121	16.18061718
122	16.14360247
123	16.05009764
124	15.98558319
125	15.93375393
126	15.85074308
127	15.79318886
128	15.73530119
129	15.68770597
130	15.637109
131	15.57268032
132	15.515459
133	15.45598948
134	15.40634269
135	15.3519499
136	15.31149616
137	15.23264477
138	15.17694598
139	15.14057138
140	15.10218691
141	15.0613865
142	15.00966548
143	14.95648277
144	14.89749916
145	14.85150665
146	14.80653398
147	14.74410765
148	14.69924526
149	14.64323078
150	14.59921088
151	14.54651842
152	14.51166384
153	14.45852135
154	14.42637025
155	14.37719888
156	14.35177681
157	14.29760995
158	14.24843847
159	14.21511494
160	14.17398386
161	14.12797011
162	14.09862498
163	14.05355492
164	13.9976606
165	13.94692258
166	13.91894198
167	13.8894879
168	13.84864272
169	13.79494625
170	13.75724273
171	13.72197532
172	13.66801197
173	13.62898701
174	13.5873423
175	13.53659688
176	13.50453247
177	13.47018169
178	13.41765713
179	13.36425795
180	13.3341015
181	13.30827786
182	13.27067372
183	13.22597449
184	13.19054107
185	13.15420621
186	13.11368643
187	13.08005097
188	13.03797385
189	13.00353395
190	12.96692933
191	12.92504269
192	12.89622881
193	12.85338733
194	12.82711202
195	12.79401924
196	12.76101452
197	12.73693733
198	12.70757681
199	12.67404778
200	12.64158729
201	12.61807261
202	12.59499881
203	12.55951543
204	12.5267053
205	12.4798736
206	12.44677142
207	12.42329455
208	12.38839856
209	12.35916939
210	12.33999116
211	12.29685048
212	12.26786165
213	12.24185265
214	12.21266599
215	12.19393345
216	12.1649989
217	12.12070182
218	12.09377482
219	12.06855024
220	12.0437259
221	12.00047412
222	11.97251462
223	11.94875218
224	11.91070264
225	11.87933947
226	11.83879592
227	11.80540352
228	11.78751815
229	11.76466064
230	11.74110743
231	11.71735705
232	11.68271391
233	11.66398555
234	11.63961749
235	11.60151885
236	11.5788226
237	11.55231373
238	11.51552976
239	11.48084099
240	11.45888298
241	11.44067778
242	11.40036182
243	11.38011834
244	11.34332628
245	11.32231957
246	11.29554167
247	11.26139916
248	11.24154153
249	11.20926493
250	11.18218446
251	11.15844439
252	11.14196318
253	11.11207189
254	11.09575374
255	11.06641032
256	11.04128323
257	11.02117766
258	11.00238751
259	10.9822558
260	10.96390112
261	10.94097126
262	10.91888714
263	10.89771158
264	10.88555932
265	10.8634367
266	10.84751633
267	10.82829735
268	10.8142232
269	10.79544566
270	10.77067946
271	10.75453534
272	10.72133661
273	10.69364162
274	10.66998544
275	10.64768032
276	10.6226309
277	10.60445483
278	10.58568432
279	10.56205394
280	10.53734607
281	10.52401198
282	10.50597085
283	10.49509462
284	10.46685861
285	10.44743871
286	10.41923157
287	10.40121728
288	10.38546018
289	10.35684844
290	10.33574328
291	10.31698587
292	10.29050096
293	10.2688955
294	10.24733942
295	10.22131501
296	10.20529948
297	10.18107888
298	10.16464283
299	10.14285984
